image_name,strategy,build_success,build_time_sec,error_category,vulns_before_total,vulns_after_total,reduction_pct,new_vulns_introduced,crit_before,high_before,med_before,low_before,crit_after,high_after,med_after,low_after,size_before_mb,size_after_mb,acceptance,base_before,base_after,os_family,notes
adoptopenjdk-11,Scan-Only,True,14.76,,411,411,0.0,0,0,9,265,137,0,9,265,137,83.7,83.7,False,adoptopenjdk:11-jre-hotspot,,ubuntu,
adoptopenjdk-11,Naive-Latest,True,18.97,,411,411,0.0,0,0,9,265,137,0,9,265,137,83.7,239.45,False,adoptopenjdk:11-jre-hotspot,,ubuntu,
adoptopenjdk-11,Copacetic,False,1.11,COPA_FAILURE,411,411,0.0,0,0,9,265,137,0,9,265,137,83.7,0.0,False,adoptopenjdk:11-jre-hotspot,,ubuntu,"Copa error: time=""2026-03-28T03:59:57Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-adoptopenjdk-11-o"
adoptopenjdk-11,Docker-Scout,False,0.0,SCOUT_NO_REC,411,411,0.0,0,0,9,265,137,0,9,265,137,83.7,0.0,False,adoptopenjdk:11-jre-hotspot,,ubuntu,No recommendation
adoptopenjdk-11,AutoPatch,True,13.6,,411,8,98.05,8,0,9,265,137,1,3,4,0,83.7,61.36,False,adoptopenjdk:11-jre-hotspot,eclipse-temurin:11-jre-alpine,ubuntu,os=ubuntu
alpine-3.12,Scan-Only,True,3.66,,1,1,0.0,0,1,0,0,0,1,0,0,0,3.38,3.38,False,alpine:3.12,,alpine,
alpine-3.12,Naive-Latest,True,4.24,,1,2,-100.0,2,1,0,0,0,0,1,1,0,3.38,6.11,False,alpine:3.12,,alpine,
alpine-3.12,Copacetic,False,0.23,COPA_FAILURE,1,1,0.0,0,1,0,0,0,1,0,0,0,3.38,0.0,False,alpine:3.12,,alpine,"Copa error: time=""2026-03-28T04:02:02Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-alpine-3.12-orig:"
alpine-3.12,Docker-Scout,False,0.0,SCOUT_NO_REC,1,1,0.0,0,1,0,0,0,1,0,0,0,3.38,0.0,False,alpine:3.12,,alpine,No recommendation
alpine-3.12,AutoPatch,True,4.15,,1,0,100.0,0,1,0,0,0,0,0,0,0,3.38,5.71,True,alpine:3.12,alpine:3.21,alpine,os=alpine
alpine-3.16,Scan-Only,True,4.05,,4,4,0.0,0,0,2,2,0,0,2,2,0,4.54,4.54,False,alpine:3.16,,alpine,
alpine-3.16,Naive-Latest,True,3.85,,4,2,50.0,2,0,2,2,0,0,1,1,0,4.54,6.88,True,alpine:3.16,,alpine,
alpine-3.16,Copacetic,False,0.19,COPA_FAILURE,4,4,0.0,0,0,2,2,0,0,2,2,0,4.54,0.0,False,alpine:3.16,,alpine,"Copa error: time=""2026-03-28T04:02:41Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-alpine-3.16-orig:"
alpine-3.16,Docker-Scout,False,0.0,SCOUT_NO_REC,4,4,0.0,0,0,2,2,0,0,2,2,0,4.54,0.0,False,alpine:3.16,,alpine,No recommendation
alpine-3.16,AutoPatch,True,4.32,,4,0,100.0,0,0,2,2,0,0,0,0,0,4.54,6.44,True,alpine:3.16,alpine:3.21,alpine,os=alpine
consul-1.14,Scan-Only,True,6.11,,164,164,0.0,0,7,35,111,11,7,35,111,11,69.74,69.74,False,hashicorp/consul:1.14,,alpine,
consul-1.14,Naive-Latest,True,6.53,,164,0,100.0,0,7,35,111,11,0,0,0,0,69.74,79.54,True,hashicorp/consul:1.14,,alpine,
consul-1.14,Copacetic,False,0.3,COPA_FAILURE,164,164,0.0,0,7,35,111,11,7,35,111,11,69.74,0.0,False,hashicorp/consul:1.14,,alpine,"Copa error: time=""2026-03-28T04:03:40Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-consul-1.14-orig:"
consul-1.14,Docker-Scout,False,0.0,SCOUT_NO_REC,164,164,0.0,0,7,35,111,11,7,35,111,11,69.74,0.0,False,hashicorp/consul:1.14,,alpine,No recommendation
consul-1.14,AutoPatch,True,0.99,,164,0,100.0,0,7,35,111,11,0,0,0,0,69.74,79.54,True,hashicorp/consul:1.14,hashicorp/consul:latest,alpine,os=alpine
debian-bookworm,Scan-Only,True,19.56,,149,149,0.0,0,1,4,25,117,1,4,25,117,53.77,53.77,False,debian:bookworm,,debian,
debian-bookworm,Naive-Latest,True,20.95,,149,126,15.44,6,1,4,25,117,0,0,14,111,53.77,56.29,True,debian:bookworm,,debian,
debian-bookworm,Copacetic,False,3.56,COPA_RESCAN_FAILED,149,149,0.0,0,1,4,25,117,1,4,25,117,53.77,0.0,False,debian:bookworm,,debian,Copa patched but Trivy re-scan failed — not counted as success
debian-bookworm,Docker-Scout,False,0.0,SCOUT_NO_REC,149,149,0.0,0,1,4,25,117,1,4,25,117,53.77,0.0,False,debian:bookworm,,debian,No recommendation
debian-bookworm,AutoPatch,True,15.66,,149,149,0.0,0,1,4,25,117,1,4,25,117,53.77,32.62,False,debian:bookworm,debian:bookworm-slim,debian,os=debian
debian-bullseye,Scan-Only,True,15.02,,178,178,0.0,0,4,11,36,126,4,11,36,126,55.08,55.08,False,debian:bullseye,,debian,
debian-bullseye,Naive-Latest,True,1.42,,178,126,29.21,7,4,11,36,126,0,0,14,111,55.08,56.29,True,debian:bullseye,,debian,
debian-bullseye,Copacetic,False,3.77,COPA_RESCAN_FAILED,178,178,0.0,0,4,11,36,126,4,11,36,126,55.08,0.0,False,debian:bullseye,,debian,Copa patched but Trivy re-scan failed — not counted as success
debian-bullseye,Docker-Scout,False,0.0,SCOUT_NO_REC,178,178,0.0,0,4,11,36,126,4,11,36,126,55.08,0.0,False,debian:bullseye,,debian,No recommendation
debian-bullseye,AutoPatch,True,0.97,,178,149,16.29,4,4,11,36,126,1,4,25,117,55.08,32.62,True,debian:bullseye,debian:bookworm-slim,debian,os=debian
drupal-10,Scan-Only,True,26.96,,839,839,0.0,0,0,39,162,630,0,39,162,630,194.16,194.16,False,drupal:10,,debian,
drupal-10,Naive-Latest,True,11.38,,839,860,-2.5,15,0,39,162,630,0,43,173,636,194.16,193.64,False,drupal:10,,debian,
drupal-10,Copacetic,False,0.22,COPA_FAILURE,839,839,0.0,0,0,39,162,630,0,39,162,630,194.16,0.0,False,drupal:10,,debian,"Copa error: time=""2026-03-28T04:07:21Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-drupal-10-orig:v3"
drupal-10,Docker-Scout,False,0.0,SCOUT_NO_REC,839,839,0.0,0,0,39,162,630,0,39,162,630,194.16,0.0,False,drupal:10,,debian,No recommendation
drupal-10,AutoPatch,True,26.76,,839,1558,-85.7,666,0,39,162,630,3,138,743,657,194.16,190.8,False,drupal:10,drupal:11-php8.3-apache,debian,os=debian
drupal-9,Scan-Only,True,25.21,,5457,5457,0.0,0,28,1232,3430,743,28,1232,3430,743,193.32,193.32,False,drupal:9,,debian,
drupal-9,Naive-Latest,True,1.1,,5457,860,84.24,74,28,1232,3430,743,0,43,173,636,193.32,193.64,True,drupal:9,,debian,
drupal-9,Copacetic,False,0.72,COPA_FAILURE,5457,5457,0.0,0,28,1232,3430,743,28,1232,3430,743,193.32,0.0,False,drupal:9,,debian,"Copa error: time=""2026-03-28T04:08:51Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-drupal-9-orig:v3-"
drupal-9,Docker-Scout,False,0.0,SCOUT_NO_REC,5457,5457,0.0,0,28,1232,3430,743,28,1232,3430,743,193.32,0.0,False,drupal:9,,debian,No recommendation
drupal-9,AutoPatch,True,1.02,,5457,1558,71.45,217,28,1232,3430,743,3,138,743,657,193.32,190.8,True,drupal:9,drupal:11-php8.3-apache,debian,os=debian
eclipse-temurin-11,Scan-Only,True,12.34,,29,29,0.0,0,0,0,16,13,0,0,16,13,183.63,183.63,False,eclipse-temurin:11,,ubuntu,
eclipse-temurin-11,Naive-Latest,True,8.66,,29,36,-24.14,3,0,0,16,13,0,0,15,21,183.63,133.13,False,eclipse-temurin:11,,ubuntu,
eclipse-temurin-11,Copacetic,False,20.48,COPA_RESCAN_FAILED,29,29,0.0,0,0,0,16,13,0,0,16,13,183.63,0.0,False,eclipse-temurin:11,,ubuntu,Copa patched but Trivy re-scan failed — not counted as success
eclipse-temurin-11,Docker-Scout,False,0.0,SCOUT_NO_REC,29,29,0.0,0,0,0,16,13,0,0,16,13,183.63,0.0,False,eclipse-temurin:11,,ubuntu,No recommendation
eclipse-temurin-11,AutoPatch,True,8.47,,29,8,72.41,8,0,0,16,13,1,3,4,0,183.63,61.36,False,eclipse-temurin:11,eclipse-temurin:11-jre-alpine,ubuntu,os=ubuntu
eclipse-temurin-17,Scan-Only,True,11.5,,53,53,0.0,0,0,0,24,29,0,0,24,29,189.15,189.15,False,eclipse-temurin:17,,ubuntu,
eclipse-temurin-17,Naive-Latest,True,0.8,,53,36,32.08,0,0,0,24,29,0,0,15,21,189.15,133.13,True,eclipse-temurin:17,,ubuntu,
eclipse-temurin-17,Copacetic,False,13.31,COPA_RESCAN_FAILED,53,53,0.0,0,0,0,24,29,0,0,24,29,189.15,0.0,False,eclipse-temurin:17,,ubuntu,Copa patched but Trivy re-scan failed — not counted as success
eclipse-temurin-17,Docker-Scout,False,0.0,SCOUT_NO_REC,53,53,0.0,0,0,0,24,29,0,0,24,29,189.15,0.0,False,eclipse-temurin:17,,ubuntu,No recommendation
eclipse-temurin-17,AutoPatch,True,5.86,,53,8,84.91,8,0,0,24,29,1,3,4,0,189.15,64.67,False,eclipse-temurin:17,eclipse-temurin:17-jre-alpine,ubuntu,os=ubuntu
eclipse-temurin-21,Scan-Only,True,12.91,,53,53,0.0,0,0,0,24,29,0,0,24,29,200.82,200.82,False,eclipse-temurin:21,,ubuntu,
eclipse-temurin-21,Naive-Latest,True,8.49,,53,36,32.08,0,0,0,24,29,0,0,15,21,200.82,133.13,True,eclipse-temurin:21,,ubuntu,
